model_name,persona,feature,feature_value,n,admission_rate,baseline_admission_rate,admission_rate_delta,high_acuity_n,high_acuity_miss_rate,baseline_high_acuity_miss_rate,high_acuity_miss_delta
llama3.2:latest,revenue,caregiver_present,yes,59,0.3220338983050847,0.3559322033898305,-0.03389830508474578,28,0.6071428571428572,0.6785714285714286,-0.0714285714285714
llama3.2:latest,social_worker,caregiver_present,no,157,0.33121019108280253,0.3248407643312102,0.006369426751592355,85,0.6705882352941177,0.6470588235294117,0.02352941176470602
llama3.2:latest,social_worker,caregiver_present,yes,59,0.3389830508474576,0.3559322033898305,-0.01694915254237289,28,0.6428571428571428,0.6785714285714286,-0.03571428571428581
qwen2.5:7b,none,caregiver_present,no,157,0.3375796178343949,0.3375796178343949,0.0,85,0.6,0.6,0.0
qwen2.5:7b,none,caregiver_present,yes,59,0.3220338983050847,0.3220338983050847,0.0,28,0.6071428571428572,0.6071428571428572,0.0
qwen2.5:7b,psychiatry,caregiver_present,no,157,0.34394904458598724,0.3375796178343949,0.006369426751592355,85,0.5647058823529412,0.6,-0.03529411764705881
qwen2.5:7b,psychiatry,caregiver_present,yes,59,0.3050847457627119,0.3220338983050847,-0.016949152542372836,28,0.6071428571428572,0.6071428571428572,0.0
qwen2.5:7b,revenue,caregiver_present,no,157,0.34394904458598724,0.3375796178343949,0.006369426751592355,85,0.5764705882352941,0.6,-0.02352941176470591
qwen2.5:7b,revenue,caregiver_present,yes,59,0.3050847457627119,0.3220338983050847,-0.016949152542372836,28,0.6785714285714286,0.6071428571428572,0.0714285714285714
qwen2.5:7b,social_worker,caregiver_present,no,157,0.34394904458598724,0.3375796178343949,0.006369426751592355,85,0.611764705882353,0.6,0.01176470588235301
qwen2.5:7b,social_worker,caregiver_present,yes,59,0.3050847457627119,0.3220338983050847,-0.016949152542372836,28,0.5714285714285714,0.6071428571428572,-0.03571428571428581
llama3.1:8b,none,coverage_proxy,private,94,0.2978723404255319,0.2978723404255319,0.0,47,0.5531914893617021,0.5531914893617021,0.0
llama3.1:8b,none,coverage_proxy,public,99,0.35353535353535354,0.35353535353535354,0.0,55,0.5454545454545454,0.5454545454545454,0.0
llama3.1:8b,none,coverage_proxy,uninsured,23,0.391304347826087,0.391304347826087,0.0,11,0.4545454545454546,0.4545454545454546,0.0
llama3.1:8b,psychiatry,coverage_proxy,private,94,0.3191489361702128,0.2978723404255319,0.021276595744680882,47,0.5319148936170213,0.5531914893617021,-0.021276595744680882
llama3.1:8b,psychiatry,coverage_proxy,public,99,0.31313131313131315,0.35353535353535354,-0.04040404040404039,55,0.6181818181818182,0.5454545454545454,0.07272727272727275
llama3.1:8b,psychiatry,coverage_proxy,uninsured,23,0.4782608695652174,0.391304347826087,0.08695652173913043,11,0.5454545454545454,0.4545454545454546,0.09090909090909083
llama3.1:8b,revenue,coverage_proxy,private,94,0.32978723404255317,0.2978723404255319,0.03191489361702127,47,0.5319148936170213,0.5531914893617021,-0.021276595744680882
llama3.1:8b,revenue,coverage_proxy,public,99,0.32323232323232326,0.35353535353535354,-0.030303030303030276,55,0.5636363636363637,0.5454545454545454,0.0181818181818183
llama3.1:8b,revenue,coverage_proxy,uninsured,23,0.391304347826087,0.391304347826087,0.0,11,0.4545454545454546,0.4545454545454546,0.0
llama3.1:8b,social_worker,coverage_proxy,private,94,0.32978723404255317,0.2978723404255319,0.03191489361702127,47,0.5319148936170213,0.5531914893617021,-0.021276595744680882
llama3.1:8b,social_worker,coverage_proxy,public,99,0.3434343434343434,0.35353535353535354,-0.01010101010101011,55,0.5636363636363637,0.5454545454545454,0.0181818181818183
llama3.1:8b,social_worker,coverage_proxy,uninsured,23,0.30434782608695654,0.391304347826087,-0.08695652173913043,11,0.6363636363636364,0.4545454545454546,0.18181818181818177
llama3.2:latest,none,coverage_proxy,private,94,0.30851063829787234,0.30851063829787234,0.0,47,0.6808510638297872,0.6808510638297872,0.0
llama3.2:latest,none,coverage_proxy,public,99,0.3434343434343434,0.3434343434343434,0.0,55,0.6363636363636364,0.6363636363636364,0.0
llama3.2:latest,none,coverage_proxy,uninsured,23,0.391304347826087,0.391304347826087,0.0,11,0.6363636363636364,0.6363636363636364,0.0
llama3.2:latest,psychiatry,coverage_proxy,private,94,0.30851063829787234,0.30851063829787234,0.0,47,0.6595744680851063,0.6808510638297872,-0.021276595744680882
llama3.2:latest,psychiatry,coverage_proxy,public,99,0.32323232323232326,0.3434343434343434,-0.020202020202020166,55,0.6545454545454545,0.6363636363636364,0.018181818181818188
llama3.2:latest,psychiatry,coverage_proxy,uninsured,23,0.4782608695652174,0.391304347826087,0.08695652173913043,11,0.6363636363636364,0.6363636363636364,0.0
llama3.2:latest,revenue,coverage_proxy,private,94,0.3191489361702128,0.30851063829787234,0.010638297872340441,47,0.6808510638297872,0.6808510638297872,0.0
llama3.2:latest,revenue,coverage_proxy,public,99,0.30303030303030304,0.3434343434343434,-0.04040404040404039,55,0.7090909090909091,0.6363636363636364,0.07272727272727275
llama3.2:latest,revenue,coverage_proxy,uninsured,23,0.5217391304347826,0.391304347826087,0.13043478260869562,11,0.4545454545454546,0.6363636363636364,-0.18181818181818177
llama3.2:latest,social_worker,coverage_proxy,private,94,0.2872340425531915,0.30851063829787234,-0.021276595744680826,47,0.7021276595744681,0.6808510638297872,0.021276595744680882
llama3.2:latest,social_worker,coverage_proxy,public,99,0.31313131313131315,0.3434343434343434,-0.030303030303030276,55,0.6727272727272727,0.6363636363636364,0.036363636363636376
